meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
алюминий,1,ТУТ́ИЙА,native,тут/е́,native,ТУТИЙÁ,native,ТУТЙА',native,туте,native,тути'йа,native,ГЬАЦӀАККУБ,native,,,ТУТИ́ЙА,native,ТОТḖ,native,9
арбуз,1,ХЪАРБ́УЗ,pers,хъарпу́з,rus,ХЪАРПУ́З/У,pers,ХЪАРМУ'З,pers,хъарбуз,native,хъапу'зи,turk,ХАРБУЗИ,pers,,,ХЪАРМУЗ,pers,ХЪАРМУ́ЗИ,pers,9
бахрома,1,КIÓРЧIА,native,чибчи́хъ,native,ЧЕЧИ́,native,ЧЕЧИ',native,чибчи́хъ,native,си'са,native,ЩУНЩУЛ,native,,,УМЕ,native,ЧÉЧА²,native,9
борода,1,Н́ИЖАТ¹,native,ми́гужур,native,МИГЯЖ/У́,native,МИГА'Ж,native,ми́гважу,native,ми'же̄лIу,native,МИГАТУ,native,,,МИЗАТIВ,native,МИ́ЖАТУ,native,9
браслет,1,КВАРКЪ́ИМ,native,кваркъи́н,native,КВАРКЪИ́Н,native,КВА'РКЪЕН,native,кваркъ\ин,native,ква'къе,native,КВАРКЬИН,native,,,КВАКЪИᴴ,native,КВÁКЪАН,native,9
бровь,1,КЬЕᴴ̄СÉЛ,native,кьи́мссир//кьинсси́р,native,КЬИНССИ́Р,native,КЬИ'С¯ЕР,native,кьи́мссир,native,кьеᴴс̄е',native,ЛЕНССИБ,native,,,КЬЕСАЛ,native,ЭСÁБ,native,9
в прошлом году,1,̄СÁГЬА,native,сса́бу,native,ССАБУ́,native,С¯АБИ',native,сса́бу,native,с̄а'ли,native,ССОБ,native,,,САС,native,С̅ÁБИ,native,9
вдовство,1,КЪОРÓЛГЬАР,native,къоро́ллъи,native,КЪОРÓЛЛЪИ,native,КЪОРОЛЛЪЕ'Р,native,къоро́ллъи,native,къоро'лъила,native,СЕРОЛА,native,,,КЪОРАЛЛЪИ,native,КЪОРÓЛЛЪАР,native,9
весна,1,РĒБ,native,ре:бу,native,РĒБУ,native,РЕ'Г|ИБО,native,ре́бу,native,ри'ъибо,native,РИБУ,native,,,ЙЕБ,native,РĒБ,native,9
ветер,1,МУЧ¹,native,му́ч/у,native,МУЧУ́,native,МУЧУ',native,му́чу,native,лъве,native,МОЧИ,native,,,МУШ,native,МУ́ЧУ,native,9
внизу,1,ГЬ́ИКЬИ,native,гьачIчIа́хи,native,АЧЧÁХЪИ,native,КЕКЬИ',native,гьикьи,native,ге'кьи,native,БЕХХИ,native,,,БЕХ̅ДАЛЕ́,native,ГЬИКЬИ́,native,9
внутренний,1,ГЬИН́ӢС,native,гьину́ссу/б,native,ГЬИНУССУ́,native,ГЬИНИ'С¯,native,гьинукуссуб,native,гелIи'с̄е,native,ГЬИНУССИ,native,,,ИНИС,native,ГЬИНИ́С̅А,native,9
водка,1,ГIАРÁКЪ,arab,гIара́къи,arab,ГIАРÁКЪИ,arab,Г|АРА'КЪИ,arab,во́тка,rus,гIара'къи,arab,АРАКЪГИ,arab,,,АРА́КЪ,arab,АРÁКЪИ,arab,9
ворота,1,КАВ,native,каву́,native,КЯВУ́,native,КАВ,native,кагьу́,native,ко̄,native,КАВ,native,,,КА̅В,native,КÁВУ,native,9
воск,1,ЩИРВ,native,щи́ру,native,ЩИРУ́,native,ЩИ'РУ,native,щи́ру,native,с̄и'ру,native,ЩИР,native,,,СИРВ,native,ЩИ́РУ,native,9
воскресенье,1,ГЬАТIÁН,native,база́рзив,pers,БАЗÁРЗИБ/У,pers,БАЗА'Р-ЗЕБУ,pers,тала́т,native,база'жо,pers,ГЬАТӀАН,native,,,ГЬАТIА́ᴴ,native,ЦIАБÁЙЗЕБУ,native,9
вы,1,Б́ИШТИ,native,би́шти,native,БИТТÉ,native,БИ'ШДИ,native,би́шди,native,у'шти,native,БИССИЛ,native,,,БИ́ТИ,native,БИ́С̅А,native,9
год,1,РЕШ,native,ре́ш/и,native,РЕШИ́,native,РЕШИ'Н²,native,ре́ши,native,ре'ше,native,РЕШИН,native,,,ЙЕГЬИᴴ¹,native,РÉГЬАН/РÉГЬЕН¹,native,9
грива,1,КЪÁМЧIА,native,жа́л/и,native,ЖÁЛИ,native,ЖА'ЛЕ,native,жа́ли,native,кьуру'с̄и,native,ЙАЛ,native,,,МУКЬУЛ,native,МУКЬУ́Р,native,9
день,1,ЗЕБ,native,зив,native,ЗИБ/У́,native,ЗЕБУ',native,зив,native,жо,native,ЗУБУ,native,,,МИЛЪ²,native,ЗÈБ/У,native,9
